bin_id,load
0,3
1,2
2,2
3,2
4,2
5,3
6,3
7,2
8,2
9,2
10,2
11,1
12,1
13,0
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,3
22,3
23,2
24,2
25,2
26,2
27,1
28,1
29,1
30,2
31,2
32,2
33,2
34,2
35,2
36,3
37,3
38,2
39,2
40,2
41,2
42,2
43,1
44,0
45,1
46,2
47,2
48,2
49,2
50,2
51,3
52,3
53,2
54,2
55,2
56,2
57,2
58,2
59,1
60,1
61,1
62,2
63,2
64,2
65,2
66,3
67,3
68,3
69,2
70,2
71,2
72,2
73,2
74,2
75,1
76,1
77,1
78,2
79,2
80,2
81,2
82,3
83,3
84,2
85,2
86,2
87,2
88,3
89,2
90,1
91,1
92,1
93,1
94,2
95,2
96,2
97,3
98,3
99,2
100,2
101,2
102,2
103,2
104,3
105,2
106,1
107,1
108,1
109,1
110,2
111,2
112,2
113,3
114,3
115,2
116,2
117,2
118,2
119,3
120,3
121,1
122,1
123,1
124,1
125,1
126,2
127,2
128,3
129,3
130,2
131,2
132,2
133,2
134,3
135,3
136,3
137,2
138,1
139,1
140,1
141,1
142,2
143,3
144,3
145,2
146,2
147,2
148,2
149,2
150,3
151,3
152,2
153,2
154,1
155,1
156,1
157,1
158,2
159,3
160,3
161,2
162,2
163,2
164,2
165,3
166,3
167,2
168,2
169,2
170,1
171,1
172,1
173,1
174,3
175,3
176,2
177,2
178,2
179,2
180,3
181,3
182,3
183,2
184,2
185,2
186,1
187,1
188,1
189,2
190,3
191,2
192,2
193,2
194,2
195,2
196,3
197,3
198,2
199,2
200,2
201,2
202,1
203,1
204,1
205,2
206,3
207,2
208,2
209,2
210,2
211,3
212,3
213,2
214,2
215,2
216,2
217,2
218,1
219,1
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,3
228,3
229,2
230,2
231,2
232,2
233,2
234,1
235,1
236,2
237,2
238,2
239,2
240,2
241,2
242,3
243,3
244,2
245,2
246,2
247,2
248,2
249,2
250,1
251,1
252,2
253,2
254,2
255,2
256,2
257,3
258,3
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,1
267,1
268,2
269,2
270,2
271,2
272,2
273,3
274,3
275,2
276,2
277,2
278,2
279,3
280,2
281,1
282,1
283,1
284,2
285,2
286,2
287,2
288,3
289,3
290,2
291,2
292,2
293,2
294,3
295,3
296,2
297,1
298,1
299,1
300,2
301,2
302,2
303,3
304,3
305,2
306,2
307,2
308,2
309,2
310,3
311,3
312,1
313,1
314,1
315,1
316,2
317,2
318,2
319,3
320,3
321,2
322,2
323,2
324,2
325,3
326,3
327,2
328,1
329,1
330,1
331,1
332,2
333,2
334,3
335,3
336,2
337,2
338,2
339,2
340,2
341,3
342,3
343,2
344,1
345,1
346,1
347,1
348,2
349,3
350,3
351,3
352,2
353,2
354,2
355,2
356,3
357,3
358,2
359,2
360,1
361,1
362,1
363,1
364,2
365,3
366,3
367,2
368,2
369,2
370,2
371,3
372,3
373,2
374,2
375,2
376,1
377,1
378,1
379,1
380,3
381,3
382,2
383,2
384,2
385,2
386,2
387,3
388,3
389,2
390,2
391,2
392,1
393,1
394,1
395,2
396,3
397,3
398,2
399,2
400,2
401,2
402,3
403,3
404,2
405,2
406,2
407,2
408,1
409,1
410,1
411,2
412,3
413,2
414,2
415,2
416,2
417,3
418,3
419,2
420,2
421,2
422,2
423,2
424,1
425,1
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,3
434,3
435,2
436,2
437,2
438,2
439,2
440,1
441,0
442,2
443,2
444,2
445,2
446,2
447,2
448,3
449,3
450,2
451,2
452,2
453,2
454,2
455,2
456,1
457,1
458,2
459,2
460,2
461,2
462,2
463,3
464,3
465,3
466,2
467,2
468,2
469,2
470,2
471,2
472,1
473,1
474,1
475,2
476,2
477,2
478,2
479,3
480,3
481,2
482,2
483,2
484,2
485,3
486,2
487,1
488,1
489,1
490,1
491,2
492,2
493,2
494,3
495,3
496,2
497,2
498,2
499,2
500,2
501,3
