hash_type, c, k, median, theoretical
HashOne,8,3,0.0189,0.0305794
HashOne,8,4,0.01511,0.0239687
HashOne,8,5,0.01447,0.0216792
HashOne,8,6,0.01398,0.0215771
HashOne,8,7,0.02491,0.0229297
HashOne,8,8,0.02176,0.0254917
HashOne,8,9,0.03246,0.0292244
HashOne,10,5,0.00664,0.00943093
HashOne,10,6,0.00501,0.00843621
HashOne,10,7,0.00681,0.00819372
HashOne,10,8,0.00938,0.00845547
HashOne,10,9,0.00799,0.00912699
HashOne,10,10,0.00951,0.0101859
HashOne,10,11,0.01141,0.0116495
HashOne,10,12,0.011,0.0135606
HashOne,12,6,0.00265,0.00371078
HashOne,12,7,0.00227,0.00329393
HashOne,12,8,0.00203,0.00314235
HashOne,12,9,0.00235,0.0031695
HashOne,12,10,0.00295,0.00333866
HashOne,12,11,0.0027,0.00363798
HashOne,12,12,0.00353,0.00407004
HashOne,12,13,0.0048,0.00464711
