bin_id,load
0,3
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,2
9,4
10,3
11,4
12,4
13,4
14,2
15,2
16,4
17,3
18,0
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,3
27,2
28,3
29,2
30,3
31,3
32,3
33,1
34,5
35,0
36,3
37,3
38,2
39,2
40,1
41,0
42,1
43,0
44,0
45,4
46,1
47,1
48,1
49,1
50,4
51,1
52,1
53,1
54,4
55,5
56,3
57,4
58,0
59,0
60,2
61,3
62,2
63,2
64,3
65,2
66,0
67,2
68,2
69,0
70,1
71,0
72,0
73,4
74,2
75,2
76,1
77,2
78,5
79,2
80,1
81,4
82,0
83,0
84,2
85,4
86,1
87,4
88,2
89,3
90,0
91,2
92,6
93,1
94,2
95,2
96,3
97,5
98,2
99,0
100,1
101,2
102,3
103,1
104,0
105,1
106,1
107,2
108,2
109,0
110,1
111,3
112,6
113,1
114,4
115,6
116,2
117,0
118,2
119,1
120,1
121,5
122,2
123,3
124,2
125,4
126,3
127,3
128,3
129,3
130,3
131,4
132,3
133,1
134,3
135,1
136,3
137,4
138,1
139,1
140,1
141,1
142,2
143,0
144,1
145,2
146,5
147,2
148,0
149,2
150,1
151,4
152,2
153,2
154,1
155,5
156,3
157,3
158,3
159,2
160,1
161,4
162,2
163,2
164,1
165,2
166,2
167,4
168,3
169,2
170,7
171,4
172,5
173,0
174,2
175,1
176,4
177,2
178,4
179,0
180,2
181,2
182,0
183,2
184,2
185,4
186,1
187,2
188,5
189,5
190,1
191,2
192,3
193,4
194,1
195,2
196,3
197,3
198,1
199,5
200,1
201,0
202,3
203,0
204,2
205,2
206,3
207,3
208,0
209,0
210,2
211,1
212,2
213,1
214,2
215,0
216,2
217,3
218,8
219,2
220,1
221,3
222,2
223,1
224,2
225,3
226,1
227,2
228,0
229,1
230,2
231,1
232,1
233,3
234,0
235,2
236,2
237,1
238,4
239,4
240,1
241,3
242,1
243,1
244,2
245,1
246,0
247,3
248,3
249,1
250,1
251,1
252,0
253,2
254,3
255,1
256,0
257,0
258,2
259,3
260,3
261,2
262,1
263,2
264,0
265,2
266,2
267,2
268,2
269,4
270,2
271,2
272,2
273,0
274,2
275,3
276,1
277,0
278,0
279,4
280,3
281,2
282,5
283,1
284,4
285,1
286,1
287,4
288,2
289,3
290,1
291,2
292,2
293,1
294,0
295,1
296,0
297,3
298,3
299,0
300,4
301,1
302,2
303,3
304,1
305,1
306,1
307,1
308,3
309,1
310,1
311,2
312,2
313,2
314,4
315,2
316,2
317,0
318,2
319,1
320,2
321,3
322,1
323,1
324,2
325,2
326,3
327,4
328,6
329,2
330,2
331,1
332,3
333,3
334,0
335,1
336,2
337,3
338,2
339,1
340,1
341,0
342,2
343,0
344,2
345,1
346,1
347,2
348,3
349,1
350,3
351,1
352,0
353,6
354,1
355,6
356,2
357,2
358,1
359,4
360,3
361,0
362,6
363,4
364,2
365,1
366,0
367,5
368,0
369,3
370,3
371,3
372,0
373,4
374,4
375,4
376,0
377,2
378,2
379,0
380,1
381,1
382,2
383,4
384,1
385,3
386,2
387,0
388,0
389,5
390,3
391,2
392,0
393,3
394,3
395,3
396,0
397,1
398,2
399,1
400,2
401,3
402,1
403,2
404,2
405,1
406,1
407,1
408,0
409,3
410,5
411,3
412,1
413,2
414,3
415,2
416,3
417,0
418,1
419,0
420,3
421,3
422,1
423,5
424,5
425,4
426,2
427,1
428,1
429,3
430,1
431,1
432,1
433,1
434,0
435,2
436,1
437,3
438,3
439,0
440,2
441,1
442,2
443,3
444,1
445,1
446,1
447,3
448,3
449,3
450,2
451,3
452,1
453,3
454,1
455,4
456,1
457,1
458,2
459,5
460,1
461,1
462,0
463,1
464,2
465,4
466,2
467,0
468,2
469,2
470,2
471,3
472,1
473,0
474,2
475,0
476,0
477,3
478,2
479,2
480,4
481,1
482,1
483,4
484,6
485,5
486,4
487,0
488,1
489,2
490,2
491,3
492,0
493,1
494,1
495,3
496,2
497,1
498,4
499,0
500,4
501,1
502,3
503,0
504,3
505,2
506,1
507,3
508,2
509,3
510,2
511,2
512,0
513,3
514,3
515,1
516,2
517,0
518,2
519,3
520,1
521,3
522,3
523,4
524,0
525,1
526,1
527,2
528,1
529,5
530,3
531,1
532,4
533,2
534,0
535,1
536,2
537,2
538,2
539,2
540,2
541,1
542,3
543,2
544,1
545,2
546,1
547,1
548,2
549,1
550,2
551,3
552,1
553,1
554,0
555,2
556,3
557,3
558,4
559,3
560,1
561,2
562,0
563,2
564,1
565,4
566,1
567,2
568,3
569,1
570,5
571,0
572,1
573,2
574,1
575,2
576,1
577,1
578,3
579,1
580,1
581,3
582,1
583,1
584,3
585,0
586,0
587,2
588,1
589,0
590,4
591,2
592,2
593,0
594,4
595,1
596,3
597,1
598,2
599,2
600,2
601,0
602,2
603,2
604,1
605,0
606,2
607,1
608,3
609,2
610,2
611,4
612,3
613,2
614,2
615,1
616,3
617,4
618,0
619,1
620,3
621,1
622,1
623,3
624,1
625,1
626,4
627,0
628,1
629,0
630,2
631,1
632,2
633,3
634,3
635,1
636,1
637,1
638,3
639,1
640,4
641,3
642,0
643,2
644,1
645,0
646,3
647,1
648,3
649,0
650,2
651,3
652,0
653,3
654,2
655,1
656,1
657,1
658,1
659,1
660,2
661,1
662,2
663,2
664,1
665,5
666,3
667,0
668,1
669,2
670,3
671,3
672,1
673,1
674,5
675,0
676,0
677,3
678,2
679,2
680,2
681,1
682,2
683,2
684,3
685,1
686,3
687,1
688,4
689,4
690,2
691,1
692,2
693,3
694,1
695,3
696,2
697,2
698,2
699,3
700,0
701,4
702,0
703,1
704,3
705,4
706,3
707,3
708,3
709,0
710,1
711,2
712,2
713,1
714,1
715,2
716,6
717,1
718,2
719,1
720,1
721,2
722,3
723,4
724,1
725,2
726,3
727,0
728,1
729,1
730,4
731,4
732,4
733,2
734,2
735,1
736,2
737,1
738,6
739,5
740,3
741,3
742,2
743,3
744,2
745,1
746,1
747,3
748,1
749,0
750,2
751,3
752,2
753,5
754,2
755,0
756,0
757,0
758,1
759,2
760,2
761,2
762,0
763,5
764,2
765,0
766,1
767,3
768,2
769,1
770,1
771,1
772,1
773,2
774,2
775,5
776,1
777,4
778,1
779,1
780,3
781,0
782,1
783,4
784,3
785,0
786,1
787,0
788,2
789,2
790,2
791,0
792,1
793,4
794,2
795,4
796,5
797,3
798,1
799,2
800,1
801,1
802,0
803,3
804,3
805,3
806,3
807,1
808,0
809,2
810,4
811,0
812,3
813,1
814,3
815,5
816,2
817,0
818,5
819,5
820,2
821,1
822,1
823,3
824,1
825,4
826,2
827,0
828,6
829,2
830,2
831,2
832,3
833,2
834,2
835,3
836,2
837,4
838,2
839,4
840,2
841,0
842,1
843,0
844,2
845,1
846,2
847,1
848,8
849,0
850,3
851,3
852,3
853,3
854,2
855,3
856,4
857,3
858,1
859,2
860,1
861,2
862,3
863,4
864,4
865,3
866,2
867,5
868,0
869,3
870,2
871,4
872,1
873,3
874,2
875,2
876,3
877,1
878,6
879,4
880,3
881,4
882,1
883,1
884,2
885,2
886,2
887,2
888,4
889,0
890,4
891,2
892,1
893,2
894,4
895,4
896,1
897,2
898,1
899,3
900,1
901,4
902,1
903,0
904,1
905,3
906,1
907,1
908,3
909,3
910,3
911,3
912,2
913,2
914,1
915,2
916,1
917,1
918,0
919,5
920,3
921,2
922,1
923,3
924,4
925,3
926,1
927,4
928,1
929,1
930,2
931,3
932,1
933,0
934,5
935,2
936,3
937,1
938,2
939,4
940,1
941,1
942,3
943,1
944,3
945,1
946,4
947,2
948,2
949,2
950,1
951,2
952,1
953,0
954,3
955,1
956,1
957,4
958,1
959,1
960,2
961,2
962,0
963,0
964,3
965,1
966,0
967,2
968,5
969,3
970,2
971,2
972,4
973,0
974,0
975,0
976,4
977,1
978,2
979,2
980,2
981,3
982,3
983,0
984,2
985,0
986,1
987,1
988,1
989,2
990,1
991,1
992,2
993,3
994,4
995,3
996,3
997,2
998,0
999,2
