hash_type, c, k, median, theoretical
HashTwo,8,3,0.03095,0.0305794
HashTwo,8,4,0.02387,0.0239687
HashTwo,8,5,0.02166,0.0216792
HashTwo,8,6,0.02171,0.0215771
HashTwo,8,7,0.02305,0.0229297
HashTwo,8,8,0.02552,0.0254917
HashTwo,8,9,0.02927,0.0292244
HashTwo,10,5,0.00949,0.00943093
HashTwo,10,6,0.00842,0.00843621
HashTwo,10,7,0.00814,0.00819372
HashTwo,10,8,0.00833,0.00845547
HashTwo,10,9,0.00918,0.00912699
HashTwo,10,10,0.01016,0.0101859
HashTwo,10,11,0.01176,0.0116495
HashTwo,10,12,0.01339,0.0135606
HashTwo,12,6,0.00385,0.00371078
HashTwo,12,7,0.00329,0.00329393
HashTwo,12,8,0.00322,0.00314235
HashTwo,12,9,0.00325,0.0031695
HashTwo,12,10,0.00334,0.00333866
HashTwo,12,11,0.00362,0.00363798
HashTwo,12,12,0.00419,0.00407004
HashTwo,12,13,0.0046,0.00464711
